[2024-12-04 14:23:00,868: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-12-04 14:23:08,146: INFO: ocr_engine]: Text Extraction Started...
[2024-12-04 14:23:08,148: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2024-12-04 14:23:12,335: INFO: ocr_engine]: Inside Try-Catch...
[2024-12-04 14:23:25,174: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-12-04 14:23:25,396: INFO: __init__]: package: mysql.connector.plugins
[2024-12-04 14:23:25,397: INFO: __init__]: plugin_name: caching_sha2_password
[2024-12-04 14:23:25,397: INFO: __init__]: AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
[2024-12-04 14:23:25,521: INFO: app]: Page layout set to wider configuration.
[2024-12-04 14:23:25,523: INFO: app]: Custom theme applied to Streamlit app.
[2024-12-04 14:23:25,526: INFO: app]: ID card type selected: PAN
[2024-12-04 14:23:25,527: INFO: app]: Header set for PAN Card registration.
[2024-12-04 14:23:51,151: INFO: app]: Page layout set to wider configuration.
[2024-12-04 14:23:51,153: INFO: app]: Custom theme applied to Streamlit app.
[2024-12-04 14:23:51,157: INFO: app]: ID card type selected: PAN
[2024-12-04 14:23:51,159: INFO: app]: Header set for PAN Card registration.
[2024-12-04 14:23:51,161: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2024-12-04 14:23:51,162: INFO: app]: Face image loaded.
[2024-12-04 14:23:51,165: ERROR: app]: No face image uploaded.
[2024-12-04 14:24:03,291: INFO: app]: Page layout set to wider configuration.
[2024-12-04 14:24:03,294: INFO: app]: Custom theme applied to Streamlit app.
[2024-12-04 14:24:03,298: INFO: app]: ID card type selected: PAN
[2024-12-04 14:24:03,301: INFO: app]: Header set for PAN Card registration.
[2024-12-04 14:24:03,325: INFO: app]: Face image loaded.
[2024-12-04 14:24:03,350: INFO: app]: ID card image loaded.
[2024-12-04 14:24:03,368: INFO: preprocess]: contours are found at, (0, 0, 1112, 684)
[2024-12-04 14:24:03,370: INFO: utils]: File is exis for /home/sunny/Desktop/e-KYC_cv/e-kc/eKYC/data/02_intermediate_data/contour_id.jpeg
[2024-12-04 14:24:03,385: INFO: app]: ID card ROI extracted.
[2024-12-04 14:24:04,089: INFO: utils]: File is exis for data/02_intermediate_data/face_image.jpg
